عامل بیماری جنون گاوی (BSE) چیست؟,عامل بیماری جنون گاوی، پریون‌ها (Prions) هستند که جزو عوامل زیر ویروسی (sub-viral agents) طبقه‌بندی می‌شوند.
برای از بین بردن عامل بیماری جنون گاوی (پریون) با حرارت، چه شرایطی لازم است؟,باید چند ساعت در معرض حرارت قرار بگیرد.
مهم‌ترین راهکار پیشگیری و کنترل بیماری جنون گاوی چه بود؟,حذف مکمل‌های پروتئینی با منشأ حیوانی از جیره غذایی گاوها.
چه تستی برای تأیید تشخیص جنون گاوی پس از مرگ حیوان استفاده می‌شود؟,مشاهده حالت اسفنجی شدن مغز در بررسی هیستوپاتولوژیک بدون وجود واکنش‌های التهابی.
در تشخیص جنون گاوی با میکروسکوپ الکترونی، چه ساختارهایی مشاهده می‌شود که نشان‌دهنده قطعی بیماری است؟,رشته‌های صاف آمیلوئیدی (SAF) که از اتصال پروتئین‌های بتا شیت ایجاد می‌شوند.
یکی از روش‌های تشخیصی برای پریون‌ها، تزریق عامل به حیوان دیگر (مثل خرگوش) و استفاده از آنتی‌بادی‌های تولید شده در تست _____ است.,ایمونوهیستوشیمی (IHC)
نام ویروس عامل بیماری اوزسکی (Pseudorabies) چیست و به کدام خانواده و زیرخانواده تعلق دارد؟,این ویروس یک آلفا هرپس ویروس از خانواده Herpesviridae و زیرخانواده Alphaherpesvirinae است.
ویروس عامل بیماری اوزسکی به کدام جنس تعلق دارد؟,جنس Varicellovirus.
برای پیشگیری از بیماری اوزسکی، چه اقدامی در مورد حیوانات جدیدالورود به گله باید انجام داد؟,قرنطینه کردن و انجام تست‌های آزمایشگاهی.
مهم‌ترین اقدام برای کنترل و جلوگیری از انتقال بیماری اوزسکی بین مخزن اصلی و گاو چیست؟,جداسازی خوک (مخزن اصلی) و گاو.
واکسن بیماری اوزسکی از چه نوعی است و معمولاً به کدام حیوان تزریق می‌شود؟,واکسن از نوع تخفیف حدت یافته و یا حذف ژن است و معمولاً به خوک زده می‌شود.
چه روش‌های آزمایشگاهی برای تشخیص بیماری اوزسکی استفاده می‌شود؟,جداسازی ویروس در کشت سلولی، PCR، ایمونوفلورسانس و روش‌های سرولوژیک مانند ELISA.
آیا جداسازی ویروس اوزسکی در کشت سلولی دشوار است؟,خیر، جداسازی و کشت آن روی لاین‌های سلولی سخت نیست.
ویروس عامل بیماری لوپینگ ایل (Louping Ill) به کدام خانواده و جنس تعلق دارد؟,این ویروس از خانواده Flaviviridae و جنس Flavivirus است.
از آنجایی که ویروس لوپینگ ایل توسط بندپایان (کنه) منتقل می‌شود، در کدام دسته از ویروس‌ها قرار می‌گیرد؟,آربوویروس‌ها (Arbovirus).
کنترل بیماری لوپینگ ایل چگونه انجام می‌شود؟,با توجه به راه انتقال آن، کنترل بیماری از طریق مبارزه با ناقل آن یعنی کنه (Ixodes ricinus) صورت می‌گیرد.
عامل بیماری پاپیلوماتوز گاوی از کدام خانواده و جنس ویروسی است؟,از خانواده Papillomaviridae و جنس Papillomavirus.
برای کنترل و پیشگیری از انتقال پاپیلوماتوز گاوی در دامداری چه اقدام مدیریتی باید انجام داد؟,حذف اشیاء تیز و سیم خاردار از محیط دامداری برای جلوگیری از ایجاد خراش روی پوست.
برای جلوگیری از انتقال یاتروژنیک (توسط دامپزشک) پاپیلوماتوز، چه نکته‌ای باید رعایت شود؟,استفاده از وسایل جراحی و سرسوزن‌های استریل برای هر دام.
درمان پاپیلوماتوز با استفاده از واکسن چگونه است؟,از واکسن‌های اتوژن (Autogenous Vaccines) استفاده می‌شود که از تومورهای همان حیوان بیمار تهیه می‌گردد.
در گاوهایی که از گیاه _____ تغذیه می‌کنند، سروتایپ‌های ۲ و ۴ ویروس پاپیلومای گاوی می‌توانند باعث تومورهای بدخیم شوند.,سرخس عقابی
برای تشخیص و تعیین تایپ ویروس پاپیلومای گاوی از چه روش آزمایشگاهی استفاده می‌شود؟,از روش مولکولی PCR و سپس sequencing استفاده می‌شود.
آیا تست‌های سرولوژیک برای تشخیص پاپیلوماتوز گاوی کاربرد زیادی دارند؟,خیر، تشخیص‌های سرمی کاربرد زیادی ندارند و تشخیص معمولاً بر اساس علائم کلینیکی است.
ویروس عامل بیماری آکابانه به کدام راسته، خانواده و جنس تعلق دارد؟,راسته Bunyavirales، خانواده Peribunyaviridae و جنس Orthobunyavirus.
بیماری آکابانه جزو کدام دسته از ویروس‌ها بر اساس نحوه انتقال طبقه‌بندی می‌شود؟,آربوویروس (Arbovirus)، زیرا فقط از طریق نیش حشرات منتقل می‌شود.
